CF83 DISKS

157 BLOCKS (0-156) OF 4 SECTORS (0-3) EACH.
256 BYTES PER SECTOR.

BLOCK		MIN SECTOR	MAX SECTOR
-----		----------	----------
   0						0						3
   1						4						7
   2						8					 11
 	127			284			441			598
 	128			285			442			599
 	129			286			443			600
 	130			287			444			601
 	131			288			445			602
 	132			289			446			603
 	133			290			447			604
 	134			291			448			605
 	135			292			449			606
 	136			293			450			607
 	137			294			451			608
 	138			295			452			609
 	139			296			453			610
 	140			297			454			611
 	141			298			455			612
 	142			299			456			613
 	143			300			457			614
 	144			301			458			615
 	145			302			459			616
 	146			303			460			617
 	147			304			461			618
 	148			305			462			619
 	149			306			463			620
 	150			307			464			621
 	151			308			465			622
 	152			309			466			623
 	153			310			467			624
 	154			311			468			625
 	155			312			469			626
 	156			313			470			627



                                  ** END **
 	
 	
 	
 	 
 		
